seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed314,35,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Nov-06 18:15:43.877442,3.068707946858,3.068707946858,13.888229616880,5.839556007956,7.916697754555,rank_035.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_035.json
seed42,25,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Mar-22 03:23:37.928345,3.086018829540,3.086018829540,12.223379330025,5.931825574571,7.043225110480,rank_025.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_025.json
seed42,26,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Mar-03 05:25:33.990303,3.103370473573,3.103370473573,12.223379330025,6.055131219187,6.991437777538,rank_026.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_026.json
seed42,27,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Apr-13 13:46:46.412829,3.124876839214,3.124876839214,12.223379330025,5.826680050303,7.104642597376,rank_027.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_027.json
seed314,36,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Oct-15 04:49:16.842993,3.128029161998,3.128029161998,13.888229616880,5.878778431359,7.854931744641,rank_036.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_036.json
seed314,37,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Oct-15 04:49:16.842993,3.132844887958,3.132844887958,13.888229616880,5.878675998763,7.854931744641,rank_037.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_037.json
seed42,28,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Mar-27 00:53:31.967071,3.136136771409,3.136136771409,12.030999899362,5.929743813002,7.056628982724,rank_028.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_028.json
seed42,29,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Apr-13 01:40:13.899290,3.151950788731,3.151950788731,11.977167860564,5.861801994488,7.103261233979,rank_029.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_029.json
seed42,30,2034-03-06,2034-Mar-06 14:28:57.181870,2041-May-01 13:39:01.147138,3.237708673547,3.237708673547,11.909405813196,5.742880010210,7.153909168165,rank_030.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_030.json
seed42,31,2034-03-06,2034-Mar-06 14:28:57.181870,2041-Mar-19 22:29:15.466158,3.267137783503,3.267137783503,12.223379330025,5.959308161567,7.037189719253,rank_031.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_031.json
seed314,38,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Oct-06 20:45:17.639653,3.276329190350,3.276329190350,14.098499856879,5.855189653680,7.832108741518,rank_038.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_038.json
seed314,39,2034-12-07,2034-Dec-07 04:29:22.818312,2042-Sep-28 09:55:44.737036,3.294418605609,3.294418605609,14.098499856879,5.877771078545,7.808970958461,rank_039.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_039.json
seed314,40,2034-09-22,2034-Sep-22 02:13:18.809819,2041-Dec-10 09:54:45.523428,3.316020376790,3.316020376790,13.591190002037,7.654138208794,7.217852013892,rank_040.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_040.json
seed314,41,2034-09-22,2034-Sep-22 02:13:18.809819,2041-Dec-25 14:26:40.064171,3.321911904960,3.321911904960,13.591190002037,7.441043971238,7.259436752299,rank_041.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_041.json
